,val_loss,val_acc,loss,acc
0,0.5401356234926308,0.743842363063925,0.6424969445452334,0.6059602649006622
1,0.5247949966656164,0.7635467983231756,0.5601937404094491,0.7313150425733207
2,0.534349004329719,0.7487684732000229,0.5293138722907629,0.7521286660359509
3,0.5043007954588077,0.7684729066975599,0.5196137651307693,0.7644276253547777
4,0.5081324037072694,0.7684729066975599,0.5170061789883006,0.761116367076632
5,0.5379197408119446,0.7660098519231299,0.5037711791362871,0.7701040681173131
6,0.6603585417781558,0.694581282256272,0.4961068912311444,0.781929990539262
7,0.5260005754790282,0.7635467977359377,0.4912545684206959,0.7838221381267739
8,0.5173655536961673,0.7586206908296482,0.48687628369387187,0.7814569536423841
9,0.6456145230919269,0.7093596073794247,0.4955106381548951,0.771050141911069
